utterance,5W1H
"Hi,  To pin a website to Start, see the steps below:   Let us know what happens after following the steps.  ","[1, 0, 0, 0, 0, 0]"
"Thanks Holly, yeah I FINALLY remembered that's how I've done it previously. But thanks again for takin the time to reply.","[0, 0, 0, 0, 0, 1]"
"I like using screen sketch and I often want to take an image, make some notes, then alt+tab back to my browser to get some information before making more notes.  Only problem is that the sketch can't be minimized or have attention shifted away from it--it just disappears.  I can't find any reference to this issue but it is a big problem. Ok, so I'll take the extra step of saving my sketch and reopening it so it is its own entity.  But now it opens in Fresh Paint.  I can't even find Sketch as an option to open it with.  I don't want to paint.  I want to use the Sketch program and it's simple interface that does all I need. How do I get my screen sketches to have more permanence?","[0, 0, 0, 0, 0, 0]"
"Hi,  It seems that the Windows Ink Workspace has been turned off or disabled that's why you're unable to find it. To enable it back, right-click on the taskbar and click Show Windows Ink Workspace button and its icon will show in the system tray. Just click the icon to show the Sticky Notes, Sketchpad, and Screen Sketch.  For more information about Windows Ink, please see this link.  Let us know if you need further information.  Regards.","[0, 0, 0, 1, 0, 1]"
"Nope.  As you can see if you read my question, I can turn it on just fine.   It turns out I actually solved my own problem, I found a button when I reopen the Screen Sketch that allows me to open my previous sketch.  I can only assume it is by design that the sketch product can not be minimized and will instead just turn off.  I find that characteristic to be a bad one and recommend that it function like EVERY other program in windows and persist when I alt+tab away.  If you are interested, feel free to read my original post to see my issue (I'm not sure what stimulated the response you gave as it has nothing to do with my problem).","[1, 0, 1, 0, 0, 0]"
What is the button you found that lets you reopen previous Screen Sketches? I cant find that :(,"[0, 0, 0, 0, 0, 0]"
"Hi Robin,  To resume previous sketch, simply click on the clock icon.    If we can help you with anything else, let us know.","[0, 0, 0, 0, 0, 0]"
"Hi,  Windows is open to new ideas. Your feedback is highly appreciated and will help us to improve our ability to serve you and other users of Screen sketch. You can always submit your suggestions using the Windows Feedback Hub.  When you submit a feedback item, we gather additional details and information about your issue that will help our engineers address it. Feedback items regularly receive Microsoft responses on the submissions in the Feedback app so you can see what we are doing about your feedback.  You can either submit a new feedback or upvote an existing feedback item by following the steps provided on this link.  Feel free to get back to us if we can help you with anything else. ","[1, 0, 0, 0, 0, 0]"
From two days I have remsh.exe in my Task Manager and it has high CPU usage. When I end process and restart Windows during rebooting OS makes some updates. I have Windows updates disabled as my PC is not compatible with the latest Win 10 updates/upgrades. For that reason reinstalling Windows is impossible option for me. I have CCleaner but older version than the compromised one. My antivir is Windows Defender and additionally I have Malwarebytes and Zemana. Google search says remsh.exe could be both Microsoft process and infection. Could you please help me? Moved from: Windows / Windows 10 / Security & privacy / PC,"[0, 0, 0, 0, 0, 0]"
Where exactly does remsh.exe live? Which folder?,"[0, 0, 0, 0, 0, 0]"
I see folder C:\Program Files\rempl  I ended the process so I can't open from Task Manager to see if this is the true file location.  I noticed it starts alongside with Telemtry but this never happened before. Also Telemtry had two process opened this time.,"[0, 0, 0, 0, 0, 0]"
"This is not a native Microsoft process. Click the Startup tab in the Task Manager, then deactivate this program. When you right-click the folder C:\Program Files\rempl then you can see when you created it. This should give you a clue about its purpose.","[0, 0, 1, 0, 0, 0]"
"Thank you! It is created last month.  I don't see the process now, will try disabling it from Startup Tab after the reboot. It doesn't have service in Service tab though.  But is it possible it to be related to this? Seems part of MS according to this article? All three files are created on the exact mentioned dates and have same mentioned file size. Also my Windows 10 is built 1511.  Yet I don't want this process to take huge part of my CPU usage the  whole day. Except if it does it for few minutes after the boot and then went to 0-1%.  https://support.microsoft.com/en-hk/help/4023057/update-to-windows-10-versions-1507-1511-and-1607-for-update-reliabilit  under x64 tab  The English (United States) version of this software update installs files that have the attributes that are listed in the following tables. The dates and the times for these files are listed in Coordinated Universal Time (UTC). The dates and the times for these files on your local computer are displayed in your local time together with your current daylight saving time (DST) bias. Additionally, the dates and the times may change when you perform certain operations on the files.      ","[0, 0, 1, 0, 1, 0]"
This executable is signed by Microsoft - so it is definitely native.,"[0, 0, 0, 0, 0, 0]"
"I have windows 10.    I called microsoft; was told I'd have to be transferred to ""skype for business....technical service"" and of course the line went dead. Note that I never wanted this, can't get rid of it, and it says I can't use it anyway.  I adds minutes to my log in and then forces me to try to close it.... which I cant.   ","[0, 0, 0, 0, 0, 0]"
"Hi Eric,  Thank you for posting your query in Microsoft Community.  Try to uninstall and re-install and check if the issue still persists. Step to completely uninstall Skype for Business http://community.skype.com/t5/Windows-desktop-client/Completely-Uninstall-Skype-For-Business/td-p/3961381   Hope it helps.","[0, 0, 0, 0, 0, 0]"
 Link not working AT ALL.,"[0, 0, 0, 0, 0, 0]"
"Hello, I have done a reset on my Surface 4.  After I am prompted for the language (English), Cortana says that we just need to configure a few more things like wifi and passwords.  It then asks me if Singapore is my region (I say no and change it to Germany). Then I selct the appropriate keyboard.  Then Cortana tells me ""Something Went Wrong, but you can try again"".  No matter how many times I try, or what keyboard, language and region combinations I try, I get to the same error. What do I do next? ***Post moved by the moderator to the appropriate forum category.***","[1, 0, 0, 0, 0, 1]"
"I would reattempt reinstallation using Recover from Cloud:  https://www.groovypost.com/howto/recover-from-cloud-reinstall-windows-10-surface-book-surface-pro-4/   If that does not work, download the latest Surface Pro 4 recovery image for Windows 10 Creators Update, create a bootable copy, then use that to reinstall Windows 10: Creating and using a USB recovery drive - Microsoft ","[0, 0, 0, 0, 0, 1]"
"Hey there, just did a factory reset on my Dell XPS and have the same problem.  Did you find a solution in the end or did you go down the route of booting from a downloaded ISO?","[0, 0, 0, 0, 0, 0]"
 I ended up Creating and using a USB recovery drive - Microsoft .  I wasn't the only one in my organization having to do this.   Good Luck.  ,"[0, 0, 0, 0, 0, 0]"
"Hi I've recently started having issues with my Windows 10 1607 network settings. I use a Huawei E153 3G modem on a regular basis and it one day refused to connect, stating that ""After starting, the service hung in a start-pending state."" After some searching, I discovered that this was the RASMAN service not starting up. I tried going to my network connections to change the IP of my ethernet port, but the Network and Sharing page just froze and after a very long time (5-10 minutes) the settings window loads, only to wait just as long before I can go to the adapter settings screen. Wifi is fine and I can access the internet without issues. Any ideas where to keep on troubleshooting?  I also checked if there are any outstanding updates and discovered that the update to 1703 is also failing to install, not sure if this is related. Hardware: Dell Latitude 3460 Windows Edition: Windows 10 Pro, version 1607 OS Build 14393.1715 Processor: Intel(R) Core(TM) i5-5200U CPU @2.20GHz Installed RAM 12.0GB HDD: Samsung SSD 850 Evo 250G Moved from: Windows / Windows 10 / Performance & system failures / PC","[0, 1, 0, 0, 0, 0]"
I have found a culprit. It seems like installing the Panasonic tapi (panasonic_tsp_instx64_4212.exe) causes the RASMAN to get stuck in starting state. I unfortunately need to have this running for support of a legacy software project. So I have to uninstall it every time I want to connect my 3G modem... Can anyone tell me why this gets stuck or how to get the two to play along nicely?,"[0, 0, 0, 1, 0, 1]"
"Hi,  To better manage this thread about Windows 10, we'd like to know if you're still experiencing your concern.  We look forward to your response.","[0, 0, 0, 0, 0, 0]"
Hi  I still have this issue yes. I have to uninstall the Panasonic TSP and restart my laptop before I can use any 3G modem.,"[0, 0, 0, 0, 0, 0]"
"We appreciate your response. Your concern about connectivity issues can be due to software conflicts related to the specified program that you're using. The specified application installs USB drivers and lists a number of items to consider when using USB as your preferred private branch exchange (PBX) setting. This may have brought changes to the configuration of the USB ports that led to conflicts on your device.  We'd recommend performing a clean boot in Windows to isolate software conflicts on your device. To do this, you can perform the steps posted on this link. In the clean boot environment, check if you'll still experience connectivity issues when using the application along with the 3G dongle. The link will also provide steps to isolate the possible cause of the issue. Once you're done troubleshooting, check the How to reset the computer to start normally after clean boot troubleshooting section to revert your device to normal boot.  In the event that you'll still experience your concern, we'd recommend performing the following to assist in identifying application specific issues:  We look forward to an update on your concern.    ","[0, 0, 1, 0, 0, 0]"
"Hi Lauren Cal  Thanks for the reply. I've gone through the steps to perform a clean boot, after which I could connect with the USB modems.  Strangely enough, the TSP software was also still working fine, so I decided to re-enable all the needed services and applications that were disabled for the clean boot, and after a restart it was still working without issues. So no idea what the actual error was, but it seems to be resolved now.  Thanks!","[1, 0, 0, 0, 0, 0]"
We're glad to hear that your concern has been resolved. Your concern could have been a software conflict that was resolved by toggling the services that is running within the operating system.  Let us know if you need further assistance.,"[0, 0, 0, 0, 0, 0]"
"Hi There  the Dell E6420 Laptop I have is at the Legacy not UEFI set up.  I have read that by resetting it to UEFI I might be able to increase the HDD capacity to 2TB.  However, I would like to know how this would affect the machine in booting and performance. When I changed it to  UEFI to see, I found the boot sequences that were ticked for Legacy were grayed out as if no more applicable.  So, please advise what are the pros & cons if changed to UEFI and if that is necessary at all. The machine as of now, is working fine. Thanks.","[1, 0, 0, 0, 0, 1]"
Do you already have an Operating system installed in Legacy mode? If so switching to EUFI mode will stop the OS from booting. You will have to have a EUFI bootable drive to install an OS like Windows 10. Yes the benefits are that 2TB and bigger partitions are supported as well as supporting fast boot. EUFI is faster and more efficient than Legacy. Hope that helps!,"[0, 0, 0, 0, 0, 0]"
"You'll need to reinstall to UEFI, booting the installation media as a UEFI device to delete all partitions down to Unallocated Space to clear the formatting - as illustrated in the gold standard Clean Install here: http://answers.microsoft.com/en-us/windows/wiki/windows_10-windows_install/clean-reinstall-windows-10-upgradefactory-oem/1c426bdf-79b1-4d42-be93-17378d93e587 This is worth it because then you'll have the full modern features of the BIOS-replacing UEFI which offers better security, GUI with mouse Support, and other improvements. http://www.youtube.com/watch?v=dRMIvY7BiL4 A legacy install should eventually be replaced with UEFI. Before reinstall enable UEFI in BIOS, if necessary CSM or Legacy Mode while you have an MBR drive still needing to boot, Secure Boot.. You may need to turn off Fast Boot if it won't pause long enough to boot the installation media when you power up pressing the Dell F12 key. But after install turn Fast Boot on unless you need to boot media as you'll access BIOS via Recovery settings .","[0, 0, 1, 0, 0, 0]"
I hope this helps. Feel free to ask back any questions and let us know how it goes. I'll keep working with you until this is resolved.,"[0, 0, 0, 0, 0, 1]"
"Thanks Austin. Yes, W10 Pro is currently running in Legacy mode.  Once I ended up with boot failure but did not know what else are needed to overcome the glitch. So, backed off! Will seriously take your advice on board.  The hardest part is to go for reinstalling everything including MS Office, one by one.... I wish if there was a process where one could copy all the installed software on to the new set up and the software manufacturers and everyone accepted it. Thanks for your lovely support!","[1, 1, 0, 0, 0, 0]"
My pleasure. If you need anything else please let us know!,"[0, 0, 0, 0, 0, 0]"
"Thanks so much Tyler. That's a lot of benefits to reckon.  I will read your Link and also watch the Utube.  In fact I missed the chance to move on to UEFI as after W10 Pro upgrade, I went through a couple of reinstall to date. As I mentioned in the reply to MikeAustin, the hardest part is to get all the software installed one by one. I work with a few AV things. You have been so helpful in this GregTyler.  Looking forward to read more from the subjects you helped. Thanks again.","[0, 0, 0, 0, 0, 0]"
"Sure, will do.","[0, 0, 0, 0, 0, 0]"
Thanks Tyler. Will surely follow this up.,"[0, 0, 0, 0, 0, 0]"
"Hi Tyler, getting back to you again.  I read most of your Article and also saw the UTube presentation. Your Article is very detailed, technical in many ways for a layman like me but very direct on the subject. Thanks for that.  The current HDD is just 500GB. I'm thinking of replacing it with 1TB or a bit higher. In that case, I suppose, I can start: resett the BIOS to UEFI, shut down the PC, connect the HDD, install the W10 Pro using the MCT (USB stick).  And in the end, reinstall all the software I need. Is this sequence of the events right. Please let me know if I have missed anything.   Dear MikeAustin, please note, for your help I received, this response/query comes to you too. Thanks.","[0, 0, 0, 0, 0, 0]"
Can anyone explain what is the Charms menu I haven't a clue. Thanks Maurice,"[1, 0, 0, 0, 0, 0]"
The charms menu was something present in Windows 8. You could move the cursor to the right of the desktop and bring it out.,"[0, 0, 0, 0, 0, 0]"
Thank you,"[0, 0, 0, 0, 0, 0]"
"Hello, I have found Windows 10 on my new laptop (an ultra-thin HP x360 - 13.3"") rather confusing. I understand there's a ""way"" to get back to the days of Windows 7 backup, whereby the Windows image is also created onto the backup medium so it can be used in the future for recovery if need be. But I am also told (and gather from the many confusing blogs out there), that Windows 10 is just to keep File History -- i.e., backup and maintain versions of a file.  The Windows OS image itself doesn't seem to be covered by the Windows 10 File History/Backup. One suggestion I got was to use Macrium Reflect (free version) to keep the Windows 10 image for recovery purposes.  And then separately, use Windows 10 File History/Backup for my own privately-created files and folders.  This sounds interesting but implies (I think) keeping two distinct and separate backups:  one for Windows OS image and one for my important files. Any advice, tips, or suggestions on a proper approach would be highly appreciated. Thank you in advance.","[0, 1, 0, 0, 0, 0]"
"Yes I recommend the 2 separate backups approach. A full Image copy backup, either using the Win 7 backup or Macrium. This is to primarily capture your OS, but it can also capture your personal data files. Personally I prefer Macrium so that I can create a bootable USB/DVD disk to run the restore from, just in case of a ""worst case"" problem. Yes, File History is only intended for your ""personal"" data files. It requires an external drive, like a SD card or USB drive. File history is 'automatic' and constant, while Win7/Macrium is a long interval manual process. Unfortunately for me File History is not working. For some reason is it not recognizing the option for it to automatically delete files when space is needed, so it keeps whining about no space on my backup drive. There is a 3rd option. That is to use OneDrive. It will automatically backup your defined folders to the cloud. That is if you don't mind sharing your personal files with the cloud.","[0, 0, 1, 0, 0, 0]"
"I personally use System Image which is still available in Windows 10. Learn how to create a system image in the following article: http://answers.microsoft.com/en-us/windows/wiki/windows_10-win_upgrade/how-to-create-a-system-image-in-windows-10/84fa6683-e3ac-4e93-9139-368af9267869 Instructions how to restore the image if needed: http://answers.microsoft.com/en-us/windows/wiki/windows_10-update/how-to-restore-a-windows-10-system-image-to-an/e20992ca-5641-4f7c-bb09-3895d0732162 Microsoft is planning to deprecate both System Image and File history in the future. Macrium Reflect and Easeus Todo Backup, both available in free versions are two options I recommend. Check out the following article how to use both: https://www.groovypost.com/howto/create-windows-10-system-image-best-free-alternatives/","[0, 0, 0, 0, 0, 1]"
"My sincerest thanks, this is of great help!","[0, 0, 0, 0, 0, 0]"
Many thanks -- this is very helpful! Best wishes.,"[0, 0, 0, 0, 0, 0]"
"Please Help me...My lap top suddenly went very dim while I was playing a game on line.  I play a lot and this has never happened before,  I did not do any thing different than I usually do, so I'm confused as to what and why this happened.  Please, any suggestions are greatly appreciated. tks  azbratnny [Moved from: OneDrive / Options and settings / Desktop settings / OneDrive in Windows 10 ]","[1, 0, 0, 1, 0, 0]"
"Hi Debi,  The issue that you’ve encountered when the screen of your laptop went dimmer can be caused by faulty graphic or video drivers, a malware infection or a software conflict. To help us isolate your concern, we’d like to know the specific game that you’re playing with and if it’s also happening on other games or programs.  Also, we’d like to confirm if you’ve tried adjusting the brightness to normal mode before playing the game. How did it go?   We’ll wait for your response.","[0, 0, 1, 0, 0, 0]"
"Hi,  Did this happen on AC Power or battery...  Usually when something like that happens it is because the battery is getting critically low...  That does not mean you do not have something else going on though...","[0, 0, 1, 0, 0, 0]"
"Thanks for  your response, I must have somehow hit a key which dimmed my screen.  I went to settings and found it was down way low on brightness, so I adjusted it and YEAH, I'm back..Thanks so much again..Debi","[0, 0, 0, 0, 0, 1]"
" Yes thank you, I must have hit a key accidently, adjusting the brightness in settings solved the problem, thanks again.  debi","[0, 0, 0, 0, 0, 0]"
confused as to what and why this happened.   One relevant detail is whether you were on battery at the time.  In that case you can look for reasons in your Power Options (Win-x O).   FYI Nicholas Aldwinckle ---,"[1, 0, 0, 1, 0, 0]"
We're glad to know that your concern has been resolved already by adjusting the brightness from the settings. Let us know if you have other concerns that we can assist you with.   Regards.,"[0, 0, 0, 0, 0, 0]"
" After restarting my computer for an update, the graphics seem messed up in Edge. Here is a picture: Before, the star and lines were separated. Now they aren't. Anyway to fix it? ***Post moved by the moderator to the appropriate forum category.***","[0, 0, 0, 0, 0, 0]"
"Hello,  We would like to know more information about your issue for us to properly isolate the issue and provide a suitable resolution. Please provide the following information:              (Type winver into the Cortana search box, then hit Enter.)  Graphics concern with Microsoft Edge may occur due to software conflicts. Meanwhile, let's run the Windows App troubleshooter. This troubleshooter automatically detects and resolves problem with an application from Windows.                  We'll keep an eye out to your response.","[0, 0, 0, 0, 0, 0]"
" I have Chrome installed, but the graphics are fine in it. I don't know what my build is, but I have a picture of it:    Oh yeah and I used your troubleshooter, didn't do anything. It says that the issue is fixed, but it isn't.","[1, 0, 0, 0, 0, 0]"
"Hi,  Shane issue may occur due to corrupted files after the update. In order for us to know more about the issue please answer the question:   In the meantime, we recommend running System File Checker. It contains troubleshooting steps pertaining to the issue.  We look Forward to your response.","[0, 0, 0, 0, 0, 0]"
"Hey there,     Turns out, every single computer in my household has the exact same problem, each on a different Microsoft account. Shaney all were affected after the same update. ","[0, 0, 0, 0, 0, 0]"
"(1) All of your computers are normal, they look just like mine. All you have to do is click it, & it will separate into two separate icons...     (2) You are one update short. If it hasn't come in yet, go get it here...  https://support.microsoft.com/en-ph/help/4040724 September 25, 2017—KB4040724 (OS Build 15063.632)  Click the Microsoft Update Catalog at the bottom of that article, & download the one that matches your architecture (bits) in the ""system type"" field of ""START, Settings, System, About"". Click the download to install it. Afterwards, the download may be deleted.   ","[0, 0, 0, 0, 0, 0]"
Got it thanks!!,"[0, 0, 0, 0, 0, 0]"
"You are welcome. Good luck, & keep us informed.","[0, 0, 0, 0, 0, 0]"
Oct 1update restart this a.m. never restarted and now will not boot. Please help!,"[0, 0, 0, 0, 0, 0]"
"To properly get answers to your post you should include some minimum information.  1.  Device type. ie PC, Laptop, Tablet, Surface.  2.  Who made it and model.  3.  OS type, Home, Pro, Enterprise, etc  4.  Current build.  Go Settings, System. About. OS build XXXXXX.XXXX  5.  For Insiders also include the rs3_release or the rs_prerelease.  6.  Where is this happening on the computer,  Boot, Screen, App, etc  7.  What error are you getting if any? . What Oct 1 update?","[0, 0, 0, 0, 0, 0]"
What update? What build are you currently on?,"[0, 0, 0, 0, 0, 0]"
"Hello Virginia,  When a computer device will not boot to the Windows desktop screen, you can force activate the Advanced Startup Options menu (ASO) in the following manner.  Power up the device, wait for the Manufacturer's logo screen to appear, then immediately hard shut down (hold the power button down until the LED light shuts off) Repeat this process 2-3 times, until the ASO menu activates.  The ASO menu will offer a variety of recovery options you can try to get your device running again.  Regards, WayneAustin ","[0, 0, 0, 0, 0, 0]"
"Thank-you Austin,  That is what I did several times today. Also used Windows 10 repair disk from 2015. Originally got no boot disc found message. Got into startup and exited to defaults. HP logo came on once or twice then would put up no boot disc message. Did this most of the day.   Powered up at 11:21pm and it booted. Update history says the 9/29 installed last. Soon as desktop loaded message popped-up saying update could not install. Yesterday pop-up notification asked me to set a time for the restart as the installation time would be longer than usual. Did not schedule, did install and restart from power off button.   Is this from windows or have I been hacked?  Thank-you again for responding. E.G. Roland","[1, 0, 0, 0, 0, 0]"
"Computer Specs (PSU, GPU, CPU, RAM, Motherboard) Windows 10 Pro 64-bit Intel Core i7 7700K @ 4.20GHz Kaby Lake 14nm Technology RAM 16.0GB DDR4 MSI Z270 GAMING PRO CARBON (MS-7A63) (U3E1) ASUS MG279Q (2560x1440@64Hz) ATI Radeon RX 580 Series (MSI) 465GB Samsung SSD 840 EVO 500GB (SSD)32 °C Realtek High Definition Audio Silverstone Strider Gold S Series 80 Gold 850W PSU Speccy Link http://speccy.piriform.com/results/hoGRDXBkFHvy1CFiUJ1807Q http://speccy.piriform.com/results/U2tl25T2LXfHXvxFMhRZCoZ (From Safe Mode, in case it's helpful) Description of problem Hey guys, I've got a brand new system and all of a sudden it's become unusable due to being stuck in a BSOD loop rotating between around 6 different errors. BSOD error notes I've made: Driver overran stack buffer Kmode exception not handled Recource not owned Kernal security check failure Reference by pointer FLTMGR.sys CRITICAL_PROCESS_DIED Bad pool caller NTFS.sys Page fault in nonpaged area DPC watchdog violation System thread exception not handled Safe mode is the only way to be able to use my system. The PC can't even remain stable for long enough to reinstall windows! Hardware-wise nothing  has been tweaked beyond how it came in the box. Here are my specs, in case it helps.Here is my report from System Information and here are my mini dumps . When this issue began Two days ago. These may or may not be related, but when playing PlayerUnknown's Battlegrounds (PUBG) I got a system lock up accompanied by a plain screen of flat colour (which may actually be close to my theme's colour: dark red and an audio stutter/buzz). Hard power-down is required. As my best guess, this was the when the BSODs started. Recurring issue Yes. If I can get to Safe Mode is it fine though. I can't recall a BSOD in Safe Mode. Cause/Steps to recreate the issue Turn on PC and it'll happen almost instantly. Some BSODs happen before you even get into Windows. Crashes even happen during Windows install process. The only way to reinstall was to take the SSD out and install Windows using another PC before putting the SSD back into my box. Plugging something into USB will almost certainly BSOD it too. What I've tried so far to resolve the issue Win10's inbuilt memory test MemTest86 (8 passes) Tested RAM sticks individually chkdsk + scandisk Rebuild MBR System Restore (BSOD interrupted this) System Reset (can't do it sometimes, other times it BSODs) Startup Repair (BSOD during) Removed GPU and tried onboard GFX Removed all other components and tested successfully separately Updating all motherboard drivers and flashing BIOS Tested one other set of RAM on motherboard compatibility list and still got BSODs Ubuntu seemed to run fine off USB3 There may be more, sorry I've tried so much I've probably forgotten some. Everything seems to point to the motherboard being faulty but I've just got this gut feeling that because safe mode is stable it's not faulty. Before I send it off for RMA and potentially incur a cost for them not finding it faulty I thought I'd try one last time to find an expert who might be able to shine some light on this for me. Thank you in advance for any help you can give me.","[0, 0, 1, 0, 1, 1]"
"Hi,  Yes it definitely sounds like a hardware problem.  Since the computer is new and still under warranty please contact ASUStek Support and the seller. As OEM ASUStek is responsible for the proper operation of both the hardware and Windows. So regardless of the cause it is theirs to resolve. And the unit is under full warranty and may be in need of repairs or replacement. Added that even if you are able to resolve the issue you would want it fully documented just in case there are related problems down the road. Remember the more you do the more they will say it is something you have done.  ASUS - Service <-- includes Live Chat http://www.service.asus.com/  ASUStek Support http://support.asus.com/  ASUStek Forums http://vip.asus.com/forum/default.aspx?SLanguage=en-us  ASUStek Drivers http://support.asus.com/download/download.aspx?SLanguage=en-us  Hope this helps. -------------------------------------------------------------------------------------------- Rob Brown - Microsoft MVP <- profile - Windows and Devices for IT : Bicycle - Mark Twain said it right.","[0, 0, 0, 0, 0, 0]"
"Hello Shaun,   Thank you for replying. The only ASUS component I have is the monitor. Do you mean the MSI motherboard sounds like the fault to you?","[0, 0, 0, 0, 0, 0]"
MSI Support http://www.msi.com/index.php?func=service  MSI - Downloads (BIOS and Drivers) http://www.msi.com/index.php?func=downloadindex MSI - Forums http://forum-en.msi.com/ MSI - Service http://us.msi.com/index.php?func=service  MSI - Live Update On-Line http://www.msi.com/index.php?func=downloadindex  MSI - Contacts - Set to North America - USA http://www.msi.com/index.php?func=html&name=aboutus Hope this helps. -------------------------------------------------------------------------------------------- Rob Brown - Microsoft MVP <- profile - Windows and Devices for IT : Bicycle - Mark Twain said it right.,"[0, 0, 0, 0, 0, 0]"
Thanks again. I've already contacted MSI but they've been fairly useless by suggesting basic things time and time again. They're honestly a waste of time. I'd already updated all MSI drivers to no avail too.  I was hoping I'd be lucky enough that a Windows BSOD expert could read into my crash logs and shed some light. ,"[0, 0, 0, 0, 0, 0]"
"Hello, We suggest that you post your concern regarding the blue screen error you're getting on Microsoft TechNet forum to get assistance from the experts. They can help us analyze the dump file that you have so that they can identify the driver that's causing the conflict. Don’t hesitate to inform us if you have any other concerns.","[0, 0, 0, 0, 0, 0]"
"Thanks, Kathleen Reb. I'll post the same thing there and see how I go.  Cheers.","[0, 0, 0, 0, 0, 1]"
"Hi,  This is the correct venue for this issue for a consumer issue and I am on both this one and TechNet. Sorry I have been in the hospital for about week and was waiting to see if you have any more specific info about your likely hardware problem.   Hope this helps. -------------------------------------------------------------------------------------------- Rob Brown - Microsoft MVP <- profile - Windows and Devices for IT : Bicycle - Mark Twain said it right.","[0, 0, 0, 0, 0, 0]"
"No problems, Rob. Hope you're feeling better!  I ended up taking my PC in to a repair shop and they established that the CPU was in fact faulty. They expressed another one in from Intel and it's been solid as a rock since.  It's a relief to have it sorted out, thank you for your replies. (And can I mark my own response as the answer?)  Thomas","[0, 0, 0, 0, 0, 0]"
"Moving everyday, going further on,","[0, 0, 0, 0, 0, 0]"
"I just reformatted my hard drive and completed a clean installation of Windows 10. (I purchased a new key from my employer yesterday.) It allows me to sign into my Microsoft account. But when I try to verify my account by email I get an error message: 0x801901f4 If I try to verify by phone, no text is sent and it refuses to call me with an automated message. Do you have any idea how I can fix this?","[0, 0, 1, 0, 0, 1]"
"Hello Dennis,  For account verification concerns, it is best to get in touch with our Microsoft Answer Desk for assistance. Kindly click on this link  to contact our Answer Desk.  Thank you.","[0, 0, 0, 0, 0, 0]"
I did. They were a great help and I'm back in action.,"[0, 0, 0, 0, 0, 0]"
