utterance,utterance_pos,initial_consine_similarity,consine_similarity,question_mark,duplicate,what,where,when,why,who,how,absolute_pos,norm_pos,utter_len,utter_len_unique_x,utter_len_unique_y,is_starter,contain_thank,exclamation_mark,feedback,neg,neu,pos,compound
"Hi Carl and welcome to the Skype Community!   If you are using the new Skype application available for Android users with Nougat 7.0 and Marshmallow 6.0 OS and for iOS v.9 and higher, then SMS sending feature is currently not available.   Because of the feedback we've received here in the Community, our engineers are already working on re-introducing this back. We want to make sure that when this feature is available, it will cater the needs of the majority of Skype users. There is no definite date on when this will be available but you can check this support link for the latest updates, fixes, changes and known issues of the new Skype.    Please feel free to post back if you need further assistance.    Thanks. ",2,0.2747787395427419,0.8897809096143241,False,False,0.0,0.0,1.0,0.0,0.0,0.0,2,0.5,479,58,57,False,True,True,False,0.01,0.842,0.148,0.9591
"Hello, See if this fix helps you: https://www.kapilarya.com/try-again-later-something-happened-on-our-end-store-app-windows-10 Hope this helps, Good luck!",4,0.27695585470349865,0.6465337983284033,False,False,0.0,0.0,0.0,0.0,0.0,0.0,4,0.8,122,9,9,False,False,True,False,0.0,0.353,0.647,0.9286
"Hi DavidMarday,   As of the moment, there is no definite date or on what version this feature will be brought back, But don't you worry, we will be updating the Skype Community and our Skype support site once the features has been brought back!  I do not recommend that you roll back to a previous version since we always promote that Skype users always use the latest version whenever possible. You can still send SMS using a laptop or a desktop which can be a workaround for the mean time.   ",4,0.28339429371654384,0.8075435283027516,False,False,1.0,0.0,1.0,0.0,0.0,0.0,4,1.0,330,41,39,False,False,True,False,0.041,0.855,0.104,0.8063
"I edited a powerpoint document from school and saved it but now it won't open. Whenever I try opening it this message comes up:  PowerPoint found a problem with content in the file 02. Chapter 3, CDN.ppt. PowerPoint can attempt to repair the file. If you trust the source of this file, click Repair. I click repair and immediately another pop-up tells me it can't be repaired.",1,1.0000000000000002,0.7653588926771366,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,277,32,30,True,False,False,False,0.048,0.866,0.086,0.4215
You will find it under Accessories when you use the Start button in Windows and then click on All Programs.,5,0.26999999999999996,0.37857142857142856,False,False,0.0,0.0,1.0,0.0,0.0,0.0,5,0.7142857142857143,65,10,10,False,False,False,False,0.0,1.0,0.0,0.0
"Thank you for getting back to us. The Shockwave feature is already implemented in Outlook.com. This might be an upgraded version of flash. We would like to confirm if you are receiving the error message right after you sign in to your account. Also, is this happening when accessing your Outlook account using a different web browser?",9,0.2666498650620967,0.5749443033185102,True,False,0.0,0.0,1.0,0.0,0.0,0.0,9,0.9,248,33,33,False,True,False,False,0.044,0.875,0.081,0.3182
"After I deleted the 365, I used my Office 2007 disk to run the repair program.  This did not get me back to the point before I accidentally activated the the 365 trial program.  Files that had been converted did not open.  I then opted to uninstall my Office 2007 and reinstall it.   As you said it gave me a fresh start and corrected all my issues and my files opened properly.",5,0.5103103630798288,0.7830789330238179,False,False,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,256,33,32,True,False,False,True,0.032,0.937,0.031,-0.0258
"Hi. Good evening to all. I write about the MapPoint software. I need to customize the software, and I'm looking for add-ons or plug-in for the route options. I need to set the driving speed . At this time it is set to a cursor on slower, average or faster, but this is an approximation not good for me. I need to set a more precise driving  speed , expressed in kilometers per hour. Please help me. Many thanks   Nazzarena",1,1.0,0.8081220356417687,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,297,34,34,True,True,False,False,0.034,0.83,0.136,0.8478
"RE Samsung tab 3 internet access.     Thank you for your reply but I am afraid I am completely computer illiterate and have no idea where to find which web browser, operating system installed.  The only thing I can say that I have tried again today to access but bt ad still there advertising bt wifi!   I do know that I have BT broadband on my laptop if that helps.  ",3,0.5270462766947299,0.6918014396024232,False,False,0.0,1.0,0.0,0.0,0.0,0.0,3,0.75,241,33,33,True,True,True,False,0.038,0.889,0.073,0.3903
"i am unable to changeaccess or reset my skype password, as the old email address is no longer active. Kindly assist, as i am unable to access old and current contacts.  I would like to reset the password and link it to my exisiting email, but have been unable to contact Skype.",1,1.0,0.6507861745351758,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,197,21,20,True,False,False,False,0.059,0.871,0.07,0.1583
Thank you Juan. It works now.,4,0.0,0.2580842111318009,False,False,0.0,0.0,0.0,0.0,0.0,0.0,4,0.8,21,4,4,True,True,False,False,0.0,0.667,0.333,0.3612
I was talking about the mail app on bing bar! do you know what I mean? I don't understand what your saying :(,3,0.24722569302909875,0.3583293746265424,True,False,1.0,0.0,0.0,0.0,0.0,0.0,3,0.42857142857142855,66,11,11,True,False,True,False,0.127,0.873,0.0,-0.4926
"I'm now forcing each endnote marker to be the smaller font and setting each to superscript, but the superscript keeps the marker number below the height of adjacent letters.  So much for superscript.  I'm tempted to start swearing. ",2,0.4848938804313331,0.5724278506540434,False,False,0.0,0.0,0.0,0.0,0.0,0.0,2,0.2222222222222222,166,19,19,True,False,False,False,0.063,0.901,0.036,-0.2617
"Hi, Jason  These FAQ articles were just updated to note that the Skype app is no longer available on BlackBerry devices running operating system 10.x and below.   The new BlackBerry smart phones running the Android operating system are supported, however.  Please see these FAQ help articles for updated information that details which operating systems and platforms that are – as well as those that are no longer - supported:    Kind regards, Elaine   Thread transferred from the Skype for iOS message board to the Skype on Android message board, as the BlackBerry app operated on an Android infrastructure.      ",2,0.2576175322630293,0.8542521154198407,False,False,0.0,0.0,0.0,0.0,0.0,1.0,2,0.6666666666666666,453,42,40,False,False,False,False,0.04,0.799,0.162,0.9081
"My brother gave me his fairly new laptop recently and I need to use Microsoft Word. When I go to open Word (2016) at the very top reads : SUNSCRIPTION EXPIRED : most of the features of WORD have been disabled; and gives me the option to reactivate. I click reactivate and there are three option I can choose from buy, enter key or sign in. I click enter key and for some reason the zero's in my product key do not come up on screen therefore it will not let me enter the product key info. I can enter all the other number expect the zero's. If I go to sign in it says the product is not associated with my account. The other problem I'm having is if I go to help it says: A world wide web browser such as Window Internet Explorer is required to use this feature and I have internet explorer up and running. My question is can I reactivate Word just by using the product key, and if so why can't I enter all the number in the product key?",1,0.9999999999999998,0.8778327475113185,True,False,0.0,0.0,0.0,1.0,0.0,0.0,1,0.2,617,64,62,True,False,False,False,0.014,0.947,0.038,0.4005
 Thank you for letting us know.,6,0.07624928516630233,0.19996875732231192,False,False,0.0,0.0,0.0,0.0,0.0,0.0,6,0.8571428571428571,22,4,4,False,True,False,False,0.0,0.667,0.333,0.3612
"Hi,  If you do the upgrade to 10 correctly it does not ask for a Product Key. You upgrade from within a running and activated windows 8.1; not by doing a clean install of 10. And the 8.1 PK is not to be used.  @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@  If you meet all the System Requirements for the Free Upgrade to Windows 10: https://www.microsoft.com/en-US/windows/windows-10-specifications#sysreqs  ""Help with upgrading to Windows 10"" http://windows.microsoft.com/en-us/windows-10/help-upgrade-windows-10  You can also use the Windows 10 Media Creation Tool to download the Windows 10 ISO file and create the Windows 10 Installation Media to upgrade from your present Operating System  “Installing Windows 10 using the media creation tool” http://windows.microsoft.com/en-us/windows-10/media-creation-tool-install  These are the steps you should expand at the Windows-10 media-creation-tool-install link for a lot more information than is posted here.  > Download the Tool. There are two versions of the tool, one for a “32-bit operating system” and one for a “64-bit operating system.” To find out which you have, go to Start, type Control panel, select System and security, and then, under System, look at the value for System type.  > Run the Tool. > If you choose to create Installation Media. You can install from an ISO, a USB, or a DVD  @@@@@@@@@@@@@@@@@@@@@@@@  This information may interest you if you do wish to keep a record of the 8.1 PK: ""Windows 10 Embedded Product Key Tool"" https://neosmart.net/blog/2014/windows-10-embedded-product-key-tool/  ""We’re proud to introduce the immediate release of our newest utility for Windows users: the NeoSmart Technologies Embedded Product Key Tool. Designed for users of Windows 7, Windows 8, and Windows 10, our embedded product key tool will retrieve and display the Windows setup product key embedded in the BIOS or EFI, allowing you to store it for safe-keeping or use it to reinstall Windows with an official Windows setup image.""  Cheers.   The media creation tool can be used to upgrade your current PC to Windows 10 or to create a USB or DVD and install Windows 10 on a different PC. Warning If you want to upgrade to Windows 10 for free, you need to use the Upgrade this PC now option. If you haven't upgraded to Windows 10 yet and perform a clean installation, you'll need to enter a product key or buy a license in order to activate Windows 10. Find the media creation tool on the Software download page. Here’s a quick look at the steps to get Windows 10 installed on your PC using this tool.",2,0.2965958541243484,0.9870271355921646,False,False,0.0,0.0,0.0,0.0,0.0,0.0,2,0.6666666666666666,1885,129,119,False,False,False,True,0.005,0.881,0.113,0.9908
"Hi Jennifer,   Welcome to Bing community!   I understand that you want your business to show up on the Bing listings.   If your listing is verified, it will typically take up to 14 days for business information to update on Bing. Listing search results and rankings can change due to a number of factors that are not directly in the control of the user. However, you may improve your results by keeping your listing up to date by adding specific and relevant categories, a detailed and relevant description of your business, photos, and professional contacts. Our recommendation is to apply as much business listing information as possible to improve your overall listing relevancy, which may potentially impact your listing rank.   If you want to talk with a Bing Places for Business support, please visit this link then click the support link at the bottom of the page. If you want to report data issues in Bing Maps please visit this link.   Hope this address your concern.   Thank you for using Bing!",2,0.3756180139289121,0.6667474954731067,False,False,0.0,0.0,0.0,0.0,0.0,1.0,2,0.4,709,70,67,False,True,True,False,0.0,0.84,0.16,0.975
"Hello,  There is not a Bing Search App in Windows 10.  Bing is the default search engine.  Once you ask Cortana to search the web Bing Search will be in action or type your query in the Search Bar.",3,0.3422671822121392,0.6461545877822119,False,False,0.0,0.0,0.0,0.0,0.0,0.0,3,0.75,138,17,17,False,False,False,False,0.0,1.0,0.0,0.0
"Hi Van — the link in the message didn't lead to live chat. I followed the instructions on what to do if that happened but there was no live chat option at the end of that process either. Just the community option, same as before. Screen grab included of the page I get after clicking ""next"" under the list of possible relevant topics. I'm using Safari on a reasonably up-to-date Mac.  Further information — I have since installed the Skype for web plugin and tried to make calls using the web browser. That has exactly the same result as the Skype application. The call attempt does not end so quickly, but it quits without the target telephone ever ringing.  Thanks",4,0.5720775535473553,0.7626025623489142,False,True,1.0,0.0,0.0,0.0,0.0,0.0,4,0.6666666666666666,459,60,59,True,True,False,True,0.022,0.947,0.031,0.2617
"Hi,  Did you get this resolved?  If not, please reply back with answers to Olivia's questions for further assistance.  Thank you.",3,0.08040844011283463,0.5766967882001443,True,False,0.0,0.0,0.0,0.0,0.0,0.0,3,0.75,89,14,14,False,True,False,False,0.081,0.74,0.18,0.3427
"Hi Richard,  For us to better assist you, we need to get more information from you. Please answer these questions:   Bing is integrated with Windows, due to its nature, it will be the default search engine in Windows. But there are ways to set a different search engine as default depending on what browser you are using.  If you want to change Bing as your default search engine and you are using Edge as your default browser, please check this Microsoft article: Change the default search engine in Microsoft Edge  Keep us posted.  Thank you.  ",4,0.09820974293827424,0.8777314869681566,False,False,1.0,0.0,0.0,0.0,0.0,0.0,4,1.0,382,36,36,False,True,False,False,0.0,0.889,0.111,0.85
"The line breaks were inserted manually using alt-enter  I selected the cell, not the text to copy all the tables in powerpoint at once.",4,0.5112364641011938,0.6725902918501345,False,False,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5714285714285714,94,14,14,True,False,False,False,0.0,1.0,0.0,0.0
"I hope this will help The formula in B1 is =DATE(--RIGHT(A1,2),MATCH(MID(A1,FIND("" "",A1)+1,3),$H$1:$H$12,0),IF(ISNUMBER(--LEFT(A1,2)),--LEFT(A1,2),--LEFT(A1)))  The various double negations convert text to number Of course, you can a) use any date format you wish in column B b) use Copy followed by Paste Special Values to convert B values from formulas to dates  best wishes   ",4,0.26561990862896234,0.7050774232792194,False,False,0.0,0.0,0.0,0.0,0.0,0.0,4,0.8,328,42,39,False,False,False,False,0.0,0.647,0.353,0.9661
"It appears that I can only filter within the past 24hours, past week and past month",1,1.0,0.5279921020470353,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,61,9,9,True,False,False,False,0.0,1.0,0.0,0.0
"I would like Bing Maps to have transport information for buses and trams in the UK. So far, we only have trains, and that's not useful for local transport. You can find the transport information from traveline.info. I hope this is included soon; Google Maps already has it!",1,1.0,0.674405171262336,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,191,24,24,True,False,True,False,0.045,0.847,0.107,0.5083
"Windows 8.1 Twice removing Bing and reinstall. Updates automatically.  But found out it may be a malware as he got one of those Urgent firefox update pages and I think it infected his system.   Ran Malwarebytes and nothing, Avast and nothing.  But ran the test version of one program and it found several and it might be rootkit.  Having to purchase it makes me weary as it may be false program.",3,0.4938039737912401,0.742607140370735,False,False,0.0,0.0,0.0,0.0,0.0,0.0,3,0.375,289,36,35,True,False,False,False,0.09,0.881,0.029,-0.6956
"Hi, MonicaK.Nielsen,  I've change the title of your thread so others will know what the issue is.  In future when posting a thread for assistance, create a descriptive title which will get you noticed quicker.  Exactly what happens when you click on an app? Were the apps working before? Are you receiving error messages?  Please post the message body in its entirety.  Try using this Troubleshooter Troubleshoot problems with an app http://windows.microsoft.com/en-US/windows-8/what-troubleshoot-problems-app ",3,0.19340263739843816,0.8162786218247988,True,False,1.0,0.0,1.0,0.0,0.0,0.0,3,0.6,373,42,38,False,False,False,False,0.067,0.821,0.112,0.3798
"Thank you for clarifying that aspect of one's inability to be ""promoted"" to any number of unknown third parties. I am quite shocked.  It's appalling twice over; once that they do it, and further because you cannot even pay for a version that doesn't default to 100% privacy.  I'm not convinced that the feedback options (which I have exercised already) are talking to the right people, as the comments are going back to the same team who already got it so badly wrong. The feedback needs to be delivered at least one tier higher. ",6,0.2665204678252684,0.6593522363676578,False,True,0.0,0.0,0.0,0.0,1.0,0.0,6,0.8571428571428571,331,45,45,False,True,False,False,0.159,0.746,0.095,-0.8437
" Two routes to take, first try these basic troubleshooting steps for Word for Office for Mac. Follow Robert's guidelines, and here is their MVP website also.   Also there is a ""Don't Spell Check"" button that has caused issues before so you may want to read over this thread also.  Keep us posted, Thanks for Posting! -RobertMatthew P.",2,0.21451567576947242,0.447933594128619,False,False,0.0,0.0,0.0,0.0,0.0,0.0,2,0.2222222222222222,219,34,33,False,True,True,False,0.0,0.893,0.107,0.6658
"Hi Renee, Have you looked at the CountIF function? You should be able to use it count the number of rows that satisfy a condition. You can also use Pivot Charts to count the rows by year and Category. Hope this helps, Scott<>",2,0.2606041391029935,0.5579094303862713,True,False,0.0,0.0,0.0,0.0,0.0,0.0,2,0.2857142857142857,156,21,21,False,False,False,False,0.0,0.793,0.207,0.8481
I AM TRYING TO SYNC MY LAPTOP AND PHONE TO SYNC HOW DO I DO THAT,1,1.0000000000000002,0.2289054819160974,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,64,12,12,True,False,False,False,0.0,1.0,0.0,0.0
"Original title: I am on a Windows Vista os, and I use Firefox for my browser. When I tried to install the Bing Bar, it wouldn’t let me. I am on a Windows Vista os, and I use Firefox for my browser. When I tried to install the Bing Bar, it wouldn’t let me, even tho I’m on Vista. Love Bing, not so much Explorer. I’d also like to join Bing Rewards. Is that possible? Thank you!",1,1.0,0.6416796795830325,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,261,25,25,True,True,True,False,0.0,0.806,0.194,0.9441
"The information that you've provided may pertain to a possible ink cartridge error. To isolate your concern, we suggest that you change the print text to another color. To do this, open a Word file, change the text color, and then print. If it prints the text, then you may want to check your black in cartridge or contact your printer's support for further troubleshooting.  We're looking forward to your response. ",6,0.14569556392217414,0.6103847661566072,False,False,0.0,0.0,0.0,0.0,0.0,0.0,6,0.75,293,36,35,False,False,False,False,0.059,0.866,0.075,0.0516
Multimap and then Bing was free until Microsoft got involved and messed things up  The OS free maps are better then the sketchy Bing maps. Yes they are not the full detail but why should I pay MS for what was a free service for years?,6,0.31380498186269545,0.6349724221547761,True,False,1.0,0.0,0.0,1.0,0.0,0.0,6,0.8571428571428571,143,21,21,False,False,False,False,0.06,0.711,0.229,0.85
"Hi Helen,   To assist you with your concern, we'd appreciate it if you can give us more details about it. When you say you can't find ""My Place"" in Bing Maps, do you mean it's not detecting your location or does it mean your don't see the option when you go to https://www.bing.com/mapspreview?   We look forward to your reply.",2,0.19489611623639658,0.938632277175458,True,False,0.0,0.0,1.0,0.0,0.0,0.0,2,0.6666666666666666,198,31,31,False,False,False,False,0.0,0.956,0.044,0.4019
"hi, on 16/9/2017 automatic updates were installed on my computer I now cannot log in . it comes up with failed log in user. how can I repair this otherwise I have lost all my files and personal photo's etc. thank you",1,0.9999999999999999,0.6039700938074968,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1,0.25,138,20,20,True,True,False,False,0.119,0.828,0.053,-0.4767
windows8,4,0.0,0.06608186004550898,False,False,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,8,1,1,False,False,False,False,0.0,1.0,0.0,0.0
"Hi, Bing maps has listed the wrong website with my company, pointing it to a competitor... However Bing places is not available in my country (The Netherlands). How to solve this issue? Kind regards",1,0.9999999999999998,0.6390096504226936,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,151,20,20,True,False,False,False,0.079,0.789,0.132,0.2732
"Hi Gregory,   Welcome to the Skype Community forum.  I do understand the inconvenience you have faced. Don't worry, I'm here to assist you.  It is possible that you're signed in to a different Skype account. Your contacts, recent conversation history, Skype credit and subscription (if any) should sync across all your devices.  Are you signing in using a Skype name or an email address or maybe a phone number? If you've forgotten your account details, the best way to recover it is to go to our problems signing in page and follow the instructions. We'll show you all the Skype accounts associated with that email address or phone number.   I hope this helps. Please let us know if you have other questions.    Rhiza_ELisa Skype Community Moderator",2,0.2678827706235765,0.8028129149747739,True,False,0.0,0.0,0.0,0.0,0.0,1.0,2,0.5,542,65,63,False,False,False,False,0.049,0.791,0.16,0.9313
"Hi,  Webmaster Guidelines http://www.bing.com/webmaster/help/webmaster-guidelines-30fba23a  Under Getting Help and Support you will find Bing User Help Topics",3,0.08072921046507832,0.41009486394584777,False,False,0.0,0.0,0.0,0.0,0.0,0.0,3,0.75,135,13,13,False,False,False,False,0.0,0.616,0.384,0.7964
"Hi Benjamin,  Thank you for posting your query in Microsoft Community.  It could be possible that Delete browsing history is checked as settings in Internet Explorer.  To uncheck it:  a. Start Internet Explorer and click Tools b. Click Internet Options c. If the option Delete browsing history is checked, click to uncheck and click OK  Hope this information is helpful. Please feel free to reply in case you face any other issues with Windows in future.",2,0.06451612903225808,0.6585883770328264,False,False,0.0,0.0,0.0,0.0,0.0,0.0,2,0.3333333333333333,350,39,38,False,True,False,False,0.0,0.807,0.193,0.9406
"Hi,  In cell X2, enter this formula and copy down  =INDEX($N2:$W2,1,MATCH(IF(MOD(WEEKNUM(TODAY()),2)=0, ""e"", ""o"")&TEXT(TODAY(),""ddd""),$N$1:$W$1,0)  Hope this helps.",2,0.18795235288902806,0.6413043478260869,False,False,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5,149,25,25,False,False,False,False,0.0,0.704,0.296,0.7096
"Hey there,     Turns out, every single computer in my household has the exact same problem, each on a different Microsoft account. Shaney all were affected after the same update. ",5,0.32280008313750147,0.4353111615042764,False,True,0.0,0.0,0.0,0.0,0.0,0.0,5,0.625,111,14,14,True,False,False,False,0.137,0.863,0.0,-0.5106
"I second the vote for TreeSize and throw out there JDiskReport (http://www.jgoodies.com/freeware/jdiskreport/) to use.  Also, use disk cleanup as directed here: http://www.techrepublic.com/blog/windows-and-office/regain-hard-disk-space-by-using-windows-update-cleanup-in-windows-7-and-8x/",5,0.2419214987567117,0.5128812124138864,False,False,0.0,0.0,0.0,0.0,0.0,0.0,5,0.7142857142857143,226,14,14,False,False,False,False,0.0,1.0,0.0,0.0
"Hi there, I am new to this so please excuse any mistake. Been browsing here and could not find a similar post so I hope this helps someone else too. Yesterday I was playing League of Legends and using iTunes at the same time. I noticed iTunes was lagging and freezing for no reason and suddenly after something happended at League, the computer froze there and it did not seem to unfreeze soon so I shut it down. Now, it will try to load the desktop but it will get stuck there with the toolbar half loaded, never loading any more. Things I did in order to ""fix"" thr problem: 1. Opening Command Prompt from Windows Recovery and using chkdsk C: F/ and chkdsk C: /offlinescanandfix 2. Trying, twice, a System Restore to different previous points where I have uninstalled some programs and downloaded some via Steam.  3. Just opened Windows through Safe Mode and it took like 5-10 minutes to fully load the desktop. I don't have any idea what is lagging the desktop load so much in normal mode. Hope you can help me, and thanks in advance.",1,0.9999999999999999,0.9060395593476065,False,True,1.0,1.0,0.0,0.0,0.0,0.0,1,0.25,717,92,87,True,True,False,True,0.068,0.794,0.138,0.9449
"Is there a way to use this formula with multiple cells?   B2: =VLOOKUP($A2,Participants!$A:$C,COLUMN(Participants!$B$1),FALSE)  I'm trying to sort a sheet with people's names and there are repeats. I know I can combine cells with first and last names, but I'd rather not do that.",7,0.2689930556556346,0.5511059411272098,True,False,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0,210,31,31,False,False,True,False,0.0,1.0,0.0,0.0
